customer_id,name,age,gender,city,income,signup_date,last_purchase_date
C001,Customer_001,58,Male,Ahmedabad,90097,2025-01-01,2025-04-07
C002,Customer_002,33,Male,Delhi,44868,2024-02-02,2025-05-08
C003,Customer_003,52,Male,Jaipur,26331,2025-03-03,2025-06-09
C004,Customer_004,19,Male,Pune,78990,2024-04-04,2025-07-10
C005,Customer_005,50,Male,Pune,127974,2025-05-05,2025-08-11
C006,Customer_006,32,Female,Surat,19703,2024-06-06,2025-09-12
C007,Customer_007,28,Female,Vadodara,90842,2025-07-07,2025-10-13
C008,Customer_008,27,Male,Vadodara,44793,2024-08-08,2025-11-14
C009,Customer_009,23,Female,Mumbai,112104,2025-09-09,2025-12-15
C010,Customer_010,40,Female,Ahmedabad,138435,2024-10-10,2025-01-16
C011,Customer_011,52,Male,Jaipur,38656,2025-11-11,2025-02-17
C012,Customer_012,53,Female,Vadodara,68407,2024-12-12,2025-03-18
C013,Customer_013,22,Male,Pune,93861,2025-01-13,2025-04-19
C014,Customer_014,23,Male,Mumbai,117647,2024-02-14,2025-05-20
C015,Customer_015,35,Female,Vadodara,60638,2025-03-15,2025-06-21
C016,Customer_016,41,Female,Pune,87986,2024-04-16,2025-07-22
C017,Customer_017,59,Male,Delhi,82175,2025-05-17,2025-08-23
C018,Customer_018,28,Female,Jaipur,88765,2024-06-18,2025-09-24
C019,Customer_019,58,Male,Vadodara,32663,2025-07-19,2025-10-25
C020,Customer_020,32,Male,Vadodara,123162,2024-08-20,2025-11-01
C021,Customer_021,35,Male,Pune,100490,2025-09-21,2025-12-02
C022,Customer_022,31,Female,Jaipur,138285,2024-10-22,2025-01-03
C023,Customer_023,27,Female,Delhi,82651,2025-11-23,2025-02-04
C024,Customer_024,53,Female,Jaipur,122700,2024-12-24,2025-03-05
C025,Customer_025,41,Male,Delhi,147372,2025-01-25,2025-04-06
C026,Customer_026,23,Male,Mumbai,58066,2024-02-01,2025-05-07
C027,Customer_027,58,Male,Jaipur,34653,2025-03-02,2025-06-08
C028,Customer_028,42,Female,Bengaluru,83906,2024-04-03,2025-07-09
